,l,ClTT001,ClTT01,ClTT1
0,0,0.0,0.0,0.0
1,1,0.0,0.0,0.0
2,2,1021.9774220491148,1021.9774220491148,1021.9774220491148
3,3,967.8679794234121,967.8679794234121,967.8679794234121
4,4,915.9035899136885,915.9035899136885,915.9035899136885
5,5,877.1673231016468,877.1673231016468,877.1673231016468
6,6,850.7658059171343,850.7658059171343,850.7658059171343
7,7,834.0261495618734,834.0261495618734,834.0261495618734
8,8,824.0092807524575,824.0092807524575,824.0092807524575
9,9,819.3493477333449,819.3493477333449,819.3493477333449
10,10,818.5973561888628,818.5973561888628,818.5973561888628
11,11,820.3657232856539,820.3657232856539,820.3657232856539
12,12,825.3819975798938,825.3819975798938,825.3819975798938
13,13,831.7416978551973,831.7416978551973,831.7416978551973
14,14,839.2758668953626,839.2758668953626,839.2758668953626
15,15,846.9343633352048,846.9343633352048,846.9343633352048
16,16,856.4995379643477,856.4995379643477,856.4995379643477
17,17,867.8188850398415,867.8188850398415,867.8188850398415
18,18,879.7457192996014,879.7457192996014,879.7457192996014
19,19,893.0372564373588,893.0372564373588,893.0372564373588
20,20,906.0813017051504,906.0813017051504,906.0813017051504
21,21,919.5745677384574,919.5745677384574,919.5745677384574
22,22,933.5453084810283,933.5453084810283,933.5453084810283
23,23,947.607471107504,947.607471107504,947.607471107504
24,24,962.0809528872431,962.0809528872431,962.0809528872431
25,25,977.0992881667288,977.0992881667288,977.0992881667288
26,26,992.1719542319411,992.1719542319411,992.1719542319411
27,27,1007.7076092227945,1007.7076092227945,1007.7076092227945
28,28,1023.5357636325057,1023.5357636325057,1023.5357636325057
29,29,1039.5757707815997,1039.5757707815997,1039.5757707815997
30,30,1056.0210211575272,1056.0210211575272,1056.0210211575272
31,31,1072.2661200116293,1072.2661200116293,1072.2661200116293
32,32,1089.1175128475043,1089.1175128475043,1089.1175128475043
33,33,1106.0503064613138,1106.0503064613138,1106.0503064613138
34,34,1123.045825923197,1123.045825923197,1123.045825923197
35,35,1140.6782594035103,1140.6782594035103,1140.6782594035103
36,36,1158.0401944225428,1158.0401944225428,1158.0401944225428
37,37,1175.6607134488227,1175.6607134488227,1175.6607134488227
38,38,1193.6512376977607,1193.6512376977607,1193.6512376977607
39,39,1211.9131026048765,1211.9131026048765,1211.9131026048765
40,40,1230.3638352302066,1230.3638352302066,1230.3638352302066
41,41,1248.9158106439297,1248.9158106439297,1248.9158106439297
42,42,1267.5722179515792,1267.5722179515792,1267.5722179515792
43,43,1286.3459508154797,1286.3459508154797,1286.3459508154797
44,44,1305.2870454647064,1305.2870454647064,1305.2870454647064
45,45,1324.4603955413768,1324.4603955413768,1324.4603955413768
46,46,1343.8327009935172,1343.8327009935172,1343.8327009935172
47,47,1363.3864443346306,1363.3864443346306,1363.3864443346306
