,l,ClTT0,ClTT033,ClTT067,ClTT1
0,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
2,2,1021.9774220491148,1047.4061098816217,1080.3628881403513,1119.859320335951
3,3,967.8679794234121,997.5100534942216,1037.1374261792164,1088.947777486815
4,4,915.9035899136885,945.8819763274728,987.7328762359314,1048.4767432178019
5,5,877.1673231016468,905.7139490202326,947.2026579674655,1014.0650450256737
6,6,850.7658059171343,877.3402005755903,917.3775669496027,988.6438839916332
7,7,834.0261495618734,858.6584800801041,897.0008804173204,972.152719231355
8,8,824.0092807524575,846.7919534048036,883.2411388174836,962.0641352036556
9,9,819.3493477333449,840.3597417019452,874.7468615695515,956.971621672574
10,10,818.5973561888628,838.0026948839019,870.4297788561239,955.9377063059053
11,11,820.3657232856539,838.4014072378311,869.2346818135313,958.5790041678221
12,12,825.3819975798938,842.3015644138676,871.9201617879603,965.8334572261816
13,13,831.7416978551973,847.715699548435,876.3218479142835,976.4937606442691
14,14,839.2758668953626,854.3841809900292,881.9196758629203,988.1795131108919
15,15,846.9343633352048,861.2723379155752,887.8671307741809,1000.2441604864163
16,16,856.4995379643477,870.1237241240003,895.819036925233,1013.4548396367735
17,17,867.8188850398415,880.8084417731634,905.6810816321638,1028.1538873563507
18,18,879.7457192996014,892.2107856563557,916.4055294097374,1044.018746619177
19,19,893.0372564373588,905.0632177631834,928.6740498351924,1061.6567593652346
20,20,906.0813017051504,917.7218711963693,940.7872045899445,1079.1512170334672
21,21,919.5745677384574,930.8798464230189,953.4821687897368,1097.2497599145167
22,22,933.5453084810283,944.567247388374,966.8337115625841,1116.0697648352118
23,23,947.607471107504,958.3936600080282,980.3988001128703,1135.111641272412
24,24,962.0809528872431,972.6717796787455,994.4281188975352,1154.5576592075042
25,25,977.0992881667288,987.5227877581247,1009.0405534171692,1174.5100281402706
26,26,992.1719542319411,1002.4459368351522,1023.7480384714244,1194.4882914759708
27,27,1007.7076092227945,1017.8533247469024,1038.9755514573128,1214.9704353405398
28,28,1023.5357636325057,1033.5812712064187,1054.5715410524656,1235.8565171607204
29,29,1039.5757707815997,1049.5557525892127,1070.4709130781491,1257.0820517510017
30,30,1056.0210211575272,1065.9723388636828,1086.8692486884354,1278.8241406309153
31,31,1072.2661200116293,1082.2102267922717,1103.1132825629838,1300.3856844700388
32,32,1089.1175128475043,1099.0601795007524,1119.9623030626444,1322.489926376211
33,33,1106.0503064613138,1115.9981139996364,1136.8971752565901,1344.6381960176875
34,34,1123.045825923197,1133.009683578497,1153.9183105811421,1366.8521521643738
35,35,1140.6782594035103,1150.6709842431148,1171.6193810204877,1389.6933357104278
36,36,1158.0401944225428,1168.076449300804,1189.1077034841687,1412.2480725378623
37,37,1175.6607134488227,1185.7591793881086,1206.9076751847,1435.1177080102545
38,38,1193.6512376977607,1203.833241687963,1225.1207212916188,1458.4765648532607
39,39,1211.9131026048765,1222.1949566066835,1243.6363531718669,1482.172910923058
40,40,1230.3638352302066,1240.7549208613914,1262.3598166402226,1506.0422130921263
41,41,1248.9158106439297,1259.42011241399,1281.194084899922,1529.933152956728
42,42,1267.5722179515792,1278.1944564543649,1300.1444633764695,1553.858694320743
43,43,1286.3459508154797,1297.093115974091,1319.2288414571283,1577.8598723243413
44,44,1305.2870454647064,1316.1683964648157,1338.5022509182775,1602.0148643511723
45,45,1324.4603955413768,1335.4874607713134,1358.0345807895324,1626.4167049188056
46,46,1343.8327009935172,1355.0185589159007,1377.7962529264646,1651.0537558298174
47,47,1363.3864443346306,1374.7428471384937,1397.7683782723664,1675.9042461134775
48,48,1383.0950543414995,1394.6317088299304,1417.9217405964143,1700.9308721470657
