 Omega P expXi2 raw_logp raw_xi2
0 0.25 1.2514577987410825e-10 1.0 579.6858633586662 239.59661741577276
1 0.251 4.258343629446558e-10 0.0863676314787595 580.9104345131802 237.14747510674465
2 0.252 1.418312882483993e-09 0.007785532517032999 582.1136073952047 234.74112934269584
3 0.253 4.582822446862025e-09 0.0007457037977097311 583.2864544039741 232.39543532515702
4 0.254 1.45235359695728e-08 7.424850077408062e-05 584.4399098447063 230.08852444369256
5 0.255 4.483734703075382e-08 7.790271651527809e-06 585.5671807720978 227.83398258890955
6 0.256 1.3545447674565745e-07 8.535828724655961e-07 586.6727749597758 225.62279421355353
7 0.257 3.984683932248251e-07 9.863809155380864e-08 587.7517675215995 223.46480908990614
8 0.258 1.1459534045786381e-06 1.192610145825861e-08 588.8081315781487 221.35208097680774
9 0.259 3.218943480665716e-06 1.511491522127864e-09 589.8409478139852 219.2864485051349
10 0.26 8.816077765524257e-06 2.0150303572048497e-10 590.8484716931887 217.2714007467278
11 0.261 2.361111693150954e-05 2.809307988168058e-11 591.833612277403 215.30111957829922
12 0.262 6.163538786561109e-05 4.122609042499188e-12 592.7931308037915 213.38208252552192
13 0.263 0.00015732892027852231 6.327254359807282e-13 593.7302332673106 211.50787759848393
14 0.264 0.0003917033841623282 1.0207461973894065e-13 594.6423995001774 209.68354513275037
15 0.265 0.0009531264611397349 1.723976591157236e-14 595.5316422126574 207.90505970779037
16 0.266 0.002268387981170037 3.0436712566543867e-15 596.3987193376163 206.1709054578725
17 0.267 0.005173427923480762 5.851613220113015e-16 597.2231854089437 204.52197331521774
18 0.268 0.011947864594779816 1.0971141942396632e-16 598.060202466258 202.84793920058905
19 0.269 0.02639930925770667 2.2472287937223614e-17 598.852987744175 201.26236864475499
20 0.27 0.05722300217637306 4.782898227608663e-18 599.6266058523472 199.7151324284108
21 0.271 0.12130138990662803 1.06439019138482e-18 600.3779281731526 198.21248778679993
22 0.272 0.2502497612002237 2.500835206366062e-19 601.1021093627959 196.76412540751332
23 0.273 0.5068793910844581 6.095693899294552e-20 601.80792298673 195.35249815964514
24 0.274 1.0 1.566146622029698e-20 602.487405177828 193.99353377744904
