Memory Allocated. Setting minimizer next.
beta=3 & z0=0.05 & lbda=5
200 values of k read.
log10(k [h Mpc^-1])    P(k) [h^-3 Mpc^3]
  -4.000000e+00          4.213494e+02
  -3.978387e+00          4.420653e+02
  -3.956774e+00          4.637985e+02
  -3.935160e+00          4.865987e+02
  -3.913547e+00          5.105183e+02
  -3.891934e+00          5.356118e+02
  -3.870321e+00          5.619367e+02
  -3.848707e+00          5.895529e+02
  -3.827094e+00          6.185234e+02
  -3.805481e+00          6.489144e+02
  -3.783868e+00          6.807949e+02
  -3.762255e+00          7.142372e+02
  -3.740641e+00          7.493171e+02
  -3.719028e+00          7.861142e+02
  -3.697415e+00          8.247117e+02
  -3.675802e+00          8.651965e+02
  -3.654189e+00          9.076598e+02
  -3.632575e+00          9.521968e+02
  -3.610962e+00          9.989071e+02
  -3.589349e+00          1.047895e+03
  -3.567736e+00          1.099270e+03
  -3.546122e+00          1.153145e+03
  -3.524509e+00          1.209639e+03
  -3.502896e+00          1.268878e+03
  -3.481283e+00          1.330989e+03
  -3.459670e+00          1.396110e+03
  -3.438056e+00          1.464380e+03
  -3.416443e+00          1.535947e+03
  -3.394830e+00          1.610964e+03
  -3.373217e+00          1.689590e+03
  -3.351604e+00          1.771992e+03
  -3.329990e+00          1.858341e+03
  -3.308377e+00          1.948819e+03
  -3.286764e+00          2.043609e+03
  -3.265151e+00          2.142906e+03
  -3.243537e+00          2.246909e+03
  -3.221924e+00          2.355827e+03
  -3.200311e+00          2.469874e+03
  -3.178698e+00          2.589271e+03
  -3.157085e+00          2.714247e+03
  -3.135471e+00          2.845039e+03
  -3.113858e+00          2.981890e+03
  -3.092245e+00          3.125050e+03
  -3.070632e+00          3.274774e+03
  -3.049018e+00          3.431327e+03
  -3.027405e+00          3.594977e+03
  -3.005792e+00          3.765999e+03
  -2.984179e+00          3.944670e+03
  -2.962566e+00          4.131272e+03
  -2.940952e+00          4.326092e+03
  -2.919339e+00          4.529417e+03
  -2.897726e+00          4.741535e+03
  -2.876113e+00          4.962733e+03
  -2.854500e+00          5.193297e+03
  -2.832886e+00          5.433510e+03
  -2.811273e+00          5.683650e+03
  -2.789660e+00          5.943986e+03
  -2.768047e+00          6.214780e+03
  -2.746433e+00          6.496281e+03
  -2.724820e+00          6.788724e+03
  -2.703207e+00          7.092327e+03
  -2.681594e+00          7.407289e+03
  -2.659981e+00          7.733787e+03
  -2.638367e+00          8.071968e+03
  -2.616754e+00          8.421955e+03
  -2.595141e+00          8.783834e+03
  -2.573528e+00          9.157658e+03
  -2.551915e+00          9.543438e+03
  -2.530301e+00          9.941138e+03
  -2.508688e+00          1.035067e+04
  -2.487075e+00          1.077190e+04
  -2.465462e+00          1.120462e+04
  -2.443848e+00          1.164856e+04
  -2.422235e+00          1.210338e+04
  -2.400622e+00          1.256865e+04
  -2.379009e+00          1.304388e+04
  -2.357396e+00          1.352847e+04
  -2.335782e+00          1.402173e+04
  -2.314169e+00          1.452286e+04
  -2.292556e+00          1.503097e+04
  -2.270943e+00          1.554498e+04
  -2.249329e+00          1.606373e+04
  -2.227716e+00          1.658600e+04
  -2.206103e+00          1.711051e+04
  -2.184490e+00          1.763547e+04
  -2.162877e+00          1.815882e+04
  -2.141263e+00          1.867857e+04
  -2.119650e+00          1.919268e+04
  -2.098037e+00          1.969903e+04
  -2.076424e+00          2.019534e+04
  -2.054811e+00          2.067897e+04
  -2.033197e+00          2.114705e+04
  -2.011584e+00          2.159649e+04
  -1.989971e+00          2.202402e+04
  -1.968358e+00          2.242619e+04
  -1.946744e+00          2.279945e+04
  -1.925131e+00          2.314005e+04
  -1.903518e+00          2.344415e+04
  -1.881905e+00          2.370771e+04
  -1.860292e+00          2.392663e+04
  -1.838678e+00          2.409674e+04
  -1.817065e+00          2.421398e+04
  -1.795452e+00          2.427431e+04
  -1.773839e+00          2.427393e+04
  -1.752226e+00          2.420928e+04
  -1.730612e+00          2.407728e+04
  -1.708999e+00          2.387541e+04
  -1.687386e+00          2.360188e+04
  -1.665773e+00          2.325584e+04
  -1.644159e+00          2.283747e+04
  -1.622546e+00          2.234841e+04
  -1.600933e+00          2.179158e+04
  -1.579320e+00          2.117178e+04
  -1.557707e+00          2.049513e+04
  -1.536093e+00          1.976997e+04
